Category,Title,Url
Category Null,Minsalud permitirá aumento de aforos de acuerdo con índice de resiliencia,/salud/minsalud-planea-aumentar-aforos-en-espacios-cerrados-627150
Delitos,Armas traumáticas: habrá registro general y plazo de 18 meses para hacerlo,/justicia/delitos/armas-traumaticas-mindefensa-confirma-firma-de-decreto-para-su-porte-627145
Cine y Tv,'Mi corazón está roto': Alec Baldwin tras trágico accidente en rodaje,/cultura/cine-y-tv/alec-baldwin-que-dijo-tras-dispararle-a-halyna-hutchins-627104
Fútbol Internacional,Fechas y horarios confirmados para lo que viene en la eliminatoria,/deportes/futbol-internacional/eliminatorias-al-mundial-fechas-y-horarios-de-las-proximas-jornadas-627168
Fútbol Internacional,Así fue la actuación de James Rodríguez en su primera final en Catar,/deportes/futbol-internacional/james-rodriguez-actuacion-en-la-final-de-la-emir-cup-con-el-al-rayyan-627137
Category Null,EE.UU. ofrece recompensa por información sobre presunto socio de Álex Saab,/mundo/eeuu-y-canada/alex-saab-ee-uu-ofrece-recompensa-por-informacion-sobre-presunto-socio-627159
Bogotá,"Cae la tercera banda más peligrosa de Bogotá, ¿cuáles son las dos primeras?",/bogota/las-bandas-criminales-mas-peligrosas-de-bogota-despues-de-los-camilo-626979
Investigación,¿Qué se sabe del último colombiano capturado por magnicidio en Haití?,/justicia/investigacion/perfil-del-colombiano-profugo-capturado-por-muerte-de-presidente-de-haiti-627057
Gente,Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente,/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043
Medio Ambiente,Qué es la COP26 y por qué es vital para el futuro del mundo,/vida/medio-ambiente/26-datos-para-entender-que-es-que-implica-y-por-que-importa-la-cop26-627015
Unidad Investigativa,Bombardean a terroristas en Malí vinculados a secuestro de monja colombiana,/unidad-investigativa/gloria-narvaez-aniquilan-a-terroristas-en-mali-detras-de-su-secuestro-627048
Cali,Comité médico no autorizó la eutanasia para Víctor Escobar en Cali,/colombia/cali/clinica-no-accede-a-la-eutanasia-para-victor-escobar-en-cali-627105
Category Null,"(Pódcast) ""Pensé en renunciar al Centro Democrático"": congresista Edward Rodríguez",/podcast/sin-pelos-en-la-legua/esto-piensa-el-congresista-edward-rodriguez-sobre-rafael-nieto-loaiza-626531
Category Null,"Por ahora, un fracaso",/opinion/editorial/por-ahora-un-fracaso-editorial-el-tiempo-626974
Gente,Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente,/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043
Medio Ambiente,Qué es la COP26 y por qué es vital para el futuro del mundo,/vida/medio-ambiente/26-datos-para-entender-que-es-que-implica-y-por-que-importa-la-cop26-627015
Unidad Investigativa,Bombardean a terroristas en Malí vinculados a secuestro de monja colombiana,/unidad-investigativa/gloria-narvaez-aniquilan-a-terroristas-en-mali-detras-de-su-secuestro-627048
Cali,Comité médico no autorizó la eutanasia para Víctor Escobar en Cali,/colombia/cali/clinica-no-accede-a-la-eutanasia-para-victor-escobar-en-cali-627105
Barranquilla,Comunidad dio golpiza y trató de cortarle los dedos a 2 presuntos ladrones,/colombia/barranquilla/golpiza-a-ladrones-en-malambo-627083
Cortes,Los efectos del fallo que revivió al Nuevo Liberalismo,/justicia/cortes/nuevo-liberalismo-corte-publica-fallo-y-empieza-a-correr-plazo-para-el-cne-627062
Contenido Patrocinado,"everis cambia de marca, ahora es NTT Data",/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625
Category Null,"Por ahora, un fracaso",/opinion/editorial/por-ahora-un-fracaso-editorial-el-tiempo-626974
Contenido Patrocinado,"everis cambia de marca, ahora es NTT Data",/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625
Colombia,"Histórico: hipopótamos de Escobar, declarados 'personas legales' en EE.UU.",/colombia/hipopotamos-de-escobar-ahora-son-personas-legales-en-estados-unidos-627074
Más Contenido,Banco de Bogotá recibe certificación de la firma Great Place To Work,/mas-contenido/banco-de-bogota-recibe-certificacion-de-la-firma-great-place-to-work-626925
Cine y Tv,"Flacos románticos, 'sugar daddies' y otros galanes de Hollywood",/cultura/cine-y-tv/hollywood-sus-grandes-galanes-de-todos-los-tiempos-626919
Otras Ciudades,¿Cree que realmente es bueno con la ortografía? Demuéstrelo con este test,/colombia/otras-ciudades/test-de-ortografia-midase-a-ver-que-tan-bueno-es-con-la-escritura-626724
Bogotá,¿Qué va a pasar con los indígenas embera del parque Nacional?,/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036
Gente,Video: exsoldado iba a ser atracado y desarmó a ladrones en apenas segundos,/cultura/gente/exmilitar-desarmo-a-ladrones-que-iban-a-robar-una-gasolinera-en-arizona-627107
Contenido Patrocinado,¿Sabía que el café que está tomando puede que no sea colombiano?,/contenido-comercial/sabia-que-el-cafe-que-esta-tomando-puede-que-no-sea-colombiano-626882
Gente,Manuel José Chaves: ¿Qué hace 'Pablito' de 'Padres e Hijos' en Australia?,/cultura/gente/que-fue-de-manuel-jose-chaves-627128
Category Null,EE. UU. busca imponer nuevas condiciones para ayuda a Colombia,/mundo/eeuu-y-canada/ee-uu-impondra-nuevas-condiciones-para-ayuda-a-colombia-626987
Category Null,¿Qué es el ‘escrache’ y por qué la Corte Constitucional lo protege?,/podcast/degeneradas/que-es-el-escrache-feminista-626364
Bogotá,¿Qué va a pasar con los indígenas embera del parque Nacional?,/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036
Ciencia,Los rostros ocultos bajo tres momias egipcias de hace más de 2.000 años,/vida/ciencia/reconstruyen-rostros-de-tres-momias-egipcias-de-hace-mas-de-2000-anos-627059
Ciencia,"Hallan al abuelo de los cangrejos modernos, vivió con los dinosaurios",/vida/ciencia/hallan-al-fosil-de-cangrejo-moderno-mas-antiguo-del-mundo-626976
Novedades Tecnología,La plataforma creada por colombianos que aporta a la transformación digital,/tecnosfera/novedades-tecnologia/colombianos-crean-software-para-la-transformacion-digital-de-empresas-626939
Bogotá,Banco de Alimentos gana el premio Gonzalo Jiménez de Quesada,/bogota/banco-de-alimentos-de-bogota-gano-premio-de-sociedad-de-mejoras-y-ornato-626971
Partidos Políticos,¿Cómo evitar la corrupción de cara a las próximas elecciones?,/politica/partidos-politicos/como-evitar-la-corrupcion-de-cara-a-las-proximas-elecciones-626959
Restaurantes,"Un vegetariano salvaje, en 'El Caldero de Sancho'",/cultura/restaurantes/critica-gastronomica-asi-es-mesa-salvaje-restaurante-vegetariano-626820
Fútbol Colombiano,Atlético Nacional es finalista de la Copa Colombia,/deportes/futbol-colombiano/nacional-vs-pereira-es-la-final-de-la-copa-colombia-627004
Bogotá,Banco de Alimentos gana el premio Gonzalo Jiménez de Quesada,/bogota/banco-de-alimentos-de-bogota-gano-premio-de-sociedad-de-mejoras-y-ornato-626971
Partidos Políticos,¿Cómo evitar la corrupción de cara a las próximas elecciones?,/politica/partidos-politicos/como-evitar-la-corrupcion-de-cara-a-las-proximas-elecciones-626959
Restaurantes,"Un vegetariano salvaje, en 'El Caldero de Sancho'",/cultura/restaurantes/critica-gastronomica-asi-es-mesa-salvaje-restaurante-vegetariano-626820
Fútbol Colombiano,Atlético Nacional es finalista de la Copa Colombia,/deportes/futbol-colombiano/nacional-vs-pereira-es-la-final-de-la-copa-colombia-627004
